Company,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
SEMINOLE TRIBE OF FLORIDA,269095.15,261731.48,369919.16,264225.87,294143.74,305108.45,387700.97,282445.08
SEMPRA,2603696.22,1778844.01,2220336.44,2265693.32,2149760.02,1571629.72,1820851.31,2129730.15
SEMTECH CORPORATION,1492773.42,1494391.13,1909251.46,1749323.1,1925908.81,1572984.26,1701810.41,1742934.52
SENIOR LIFESTYLE CORPORATION - CTE,809822.47,607745.21,707260.49,853914.3,643615.75,673420.08,641876.89,771989.58
"SENSATA TECHNOLOGIES, INC.",2540434.99,3572398.12,4518611.45,4536016.73,5191620.06,4749930.73,5946211.39,5413852.35
"SENVION CANADA, INC",383717.74,241862.07,370156.82,437499.11,460951.1,312506.54,232667.74,232179.08
SEOUL SEMICONDUCTOR EUROPE GMBH,66817.78,36048.87,50323.01,32154.71,72712,47164.87,60204.77,85158.96
SEPHORA,5624599.22,5214802.64,6512045.32,6750521.78,8625422.12,6782395.76,8604519.29,7697968.49
SEQUA CORPORATION,1493601.64,1046831.26,1477543.29,1453700.76,1738834.6,1539491.12,1725680.87,1847882.12
SERCEL INC,94943.46,45236.68,93638.9,83840.18,86991.51,40209.09,44717.06,70022.99
SERVICE EMPLOYEES INTERNATIONAL UNION,2542411.77,2180011.37,2522856.18,2211212.29,2835084.82,2009957.58,2155504.24,2158507.38
SERVICE EXPERTS LLC,1521487.73,971294.42,1471952.04,1427719.74,1665370.87,1170426.76,1639845.01,1455064.7
SERVICE KING COLLISION REPAIR CENTERS,3399836.76,3692010.29,3482680.32,3788469.14,3718532.31,4515417.11,4181054.58,3983940.55
SERVICE SOURCE NETWORK,266564.35,228952.05,271557.18,282508.79,288230.93,258863.95,307344.13,356129.31
SERVICEMASTER CONSUMER SERVICES LTD,12468096.57,10728530.98,11014695.77,11103134.94,11108363.29,11014967.19,11793219.34,10371645.41
"SERVICENOW, INC",13149119.57,12524895.52,16207745.53,15677204.49,19739958.31,17639160.29,22648933.08,20728516.08
"SERVICES GROUP OF AMERICA, INC.",1176930.66,1106856.11,1056295.55,1034359.61,1146167.04,998027.21,1047646.81,896556.73
SERVICIOS ADMINISTRATIVOS NAVISTAR SA DE CV,52890.93,33253.09,43428.94,41113.82,41442.02,26876.49,58761.51,52332.49
SERVICIOS CORPORATIVOS DE PERSONAL ESPECIALIZADO S.A. DE C.V.,935563.33,875966.8,1251995.64,1293727.41,1399491.39,1142094.18,1592485.55,1437448.63
SERVICIOS IGASAMEX S. DE R.L. DE C.V.,77694.39,43706.42,48152.54,53427.2,55314.39,49155.69,47765.11,59584.65
"SERVICIOS TAMAULIPAS, S.A. DE C.V.",96588.28,88253.8,119388,72013.5,46119.7,38718.75,63920.2,50977.62
SES ENGINEERING (U.S.) INC.,516015.89,447152.21,536939.99,465341.54,450437.05,376996.55,507476.05,483670.27
"SEVERN TRENT ENVIRONMENTAL SERVICES, INC",2731171.32,2212438.83,2036576.54,2414116.06,2232606.27,2456767.03,1965027.64,2148217.41
SEVERN TRENT WATER,4209512.04,3553713.54,2577668.49,2324490.57,2560829.27,2546986.18,1905825.09,2226287.15
"SHAKE SHACK ENTERPRISES, LLC",690822.62,590319.34,729360.81,708579.59,856616.25,840955.46,782036.32,822508.75
SHARP ELECTRONICS CORPORATION,4428508.48,4816551.41,5986188.42,5107899.05,4942537.81,5386272.14,5249366.85,5027537.08
"SHAW INDUSTRIES GROUP, INC",11977251.9,9324353.95,10689613.21,10877643.16,11842933.19,9673748.13,10499621.66,10891741.79
SHAWCOR LTD,2217359.43,1539914.87,1355260.41,1176094.91,1623872.92,1692706.71,2329423.08,2464331.63
"SHC HOLDCO, INC.",488262.72,479799.3,428092.73,469706.57,398726.38,360212.93,346998.55,377321.09
SHERWIN WILLIAMS,30728384.6,27924466,34208357.14,33635714.5,32952142.63,28212663.57,33303573.02,32202928.45
SHI INTERNATIONAL CORP,1824455.38,1478241.95,1841847.91,1746892.05,2033733.11,1899892.79,2081783.52,1994934.43
"SHILOH INDUSTRIES, INC",1112770.63,1002727.62,843822.82,1014775.79,1219646.93,1131666.56,1142609.79,1348245.77
SHINRYO CORPORATION,590046.68,555938.29,385915.62,412456.34,670449.49,527072.61,456288.69,474111.98
SHIRE PHARMACEUTICALS LLC,20240670.69,19174244.31,25023104.49,26929832.92,30808254.44,22949492.75,25147284.92,21063231.7
"SHORETEL, INC.",2989726.85,3087104.8,3125984.29,2705954.56,2947844.91,2510297.32,2523178.5,2305631.48
SHOWA SHELL SEKIYU K.K.,1843006.68,1650322.3,1667068.14,1901383.56,2104077.03,1771692.08,1803082.55,1749756.66
SHURE INCORPORATED,2052034.97,2036504.45,2540233.9,2171166.34,2652849.74,2955197.38,2640582.99,2400041.54
SIDEL SOUTH ASIA-PACIFIC LTD.,420644.49,375236.67,377818.39,224520.36,490592.18,230352.09,254931.5,304155.11
SIDEXA SA,46895.73,69655.37,93862.92,53594.2,110369.28,109556.64,91097.75,87254.72
SIEGWERK USA CO,686328.62,687602.48,650158.93,640204.3,618245.24,545076.05,573349.6,578930.95
SIEMENS RAIL AUTOMATION LIMITED,1622275.77,1364381.7,1488800.49,1384814.57,1421876.65,1454248.11,1489292.58,1723751.62
SIERRA NEVADA CORPORATION,5916866.06,5690947.48,7033090.29,6994042.44,7239405.74,7585962.52,8169789.34,8123955.76
SIGNAL 88 SECURITY,275616.88,316143.51,289846.65,199329.35,198205.75,228703.76,237198.82,187680.36
SIGNALHORN TRUSTED NETWORKS GMBH,73222.16,43314.84,69171.73,73301.39,123471.08,28444.9,63580,14015.1
SIGNODE INDUSTRIAL GROUP LLC.,2994449.72,3069116.72,3282732.39,3080789.39,2998262.14,3141814.82,3347956.89,3092390.06
SIKA SERVICES AG,3432023.81,3510674.54,3932884.92,3832948.55,5116190.35,4139528.38,5224232.77,6133801.39
SILGAN PLASTICS,976732.74,878731.71,985087.83,1012243.38,994240.2,860841.67,999083.88,876089.99
SILICON LABORATORIES INC,2618296.54,1897961.95,2411547.24,1844399.31,2377996.17,1529552.65,2226923.74,1630095.69
"SILVER LAKE TECHNOLOGY MGMT, LLC",1626631.51,1350855.83,1583360.98,1405906.84,1871541.66,1451425.32,1571869.97,1499579.68
"SILVER POINT CAPITAL, L.P.",439986.27,335655.22,303663.36,318169.66,306386.59,391090.34,408447.82,340979.89
SILVERADO SENIOR LIVING HOLDINGS INC_US,1142528.5,1035976.64,1094150.49,1027905.93,1018400.47,1061835.53,1096822.69,1264089.03
SIMMONS BEDDING COMPANY,6197181.06,6406750.28,6609214.59,6131054.14,6982688.37,7946073,7604952.4,5976895.61
"SIMON & SCHUSTER, INC.",443107.2,389577.3,487400.19,406503.15,408889.08,384420.97,494918.72,394943.4
"SIMPSON MANUFACTURING CO., INC.",1936946,1531958.27,1871465.12,1909494.79,2093481.83,1957472.25,2281752.29,1984346.53
SIMS GROUP USA HOLDINGS CORPORATION,857592.92,858203.62,1060702.11,807131.37,847691.89,1140785.58,1019264.4,835146.49
"SINCLAIR BROADCAST GROUP, INC.",4585508.83,5093796.45,5294589.81,5211189.93,6722725.28,7620192.95,7140051.98,9405798.61
SIRIUS XM RADIO INC.,3853851.22,3459057.93,3899644.24,3717996,4328957.5,4025028.84,4554287.37,4059191.3
SITA AUSTRALIA PTY LTD,877373.61,827899.77,851851.99,1133714.85,1298768.05,1108990.86,885147.57,889815.57
SITEL OPERATING CORPORATION - CTE,1893997.09,1967198.38,2188022.13,1687822.43,1703436.46,1446415.87,1612883.73,1355135.84
"SIX CONTINENTS HOTELS, INC.",37477867.06,32736574.47,38291051.11,35141201.83,36164726.31,31489862.73,37719457.95,40726913.48
SIX FLAGS THEME PARKS INC.,658871.24,661751.62,709145.96,599437.66,824091.98,901895.97,917883.16,512222.02
"SKECHERS U.S.A., INC.",3478357.25,4264355.19,3275956.69,3382918.96,4413296.66,5863149.01,4051155.64,7446548.11
"SKY CHEFS, INC.",1610346.16,1168431.29,1572476.75,1152895.04,1444488.23,1274667.71,1459367.5,1214452.72
SLG SA,40860.13,52825.03,40299.76,28980.72,45676.3,38020.35,40325.55,41085.19
SMARTNEWS INC.,110337.24,80611.27,130537.93,144694.71,114716.99,126301.09,168057.07,172705.33
SMG,231466.52,237127.93,292733.27,320687.38,235880.87,281716.77,245970.11,360372.58
"SMITH & NEPHEW, INC",12472912.17,19554781.39,21949871.73,18521933.66,17835901.55,17352788.46,25804907.21,26022489.46
"SMITHFIELD FOODS, INC.",8884738.65,7571705.78,8903953.38,8839326.46,8575423.56,8884271.21,9622071.78,9886334.56
SMITHS GROUP PLC,401348.47,394978.54,683398.51,298809.85,493470.86,684223.23,799491.32,690695.91
SMITHS INTERCONNECT,754372.02,800230.09,1377756.1,1322884.93,1476765.6,1731838.74,1241510.02,1000170.17
"SMITHS MEDICAL ASD, INC.",2849525.89,2636674.52,2837466.19,2314916.16,2796003.96,2613921.3,2571001.59,2343285.59
SMITHS SNACKFOOD COMPANY,1419398.93,523197.15,856100.45,866942.31,1257074.11,813501.12,942661.84,976479.01
SMURFIT KAPPA NORTH AMERICA LLC,723416.36,685821.46,679669.66,645717.2,965876.18,978815.12,1000060.99,1063065.88
SNAP-ON INCORPORATED,15011902.41,14073613.42,15508588,15051178.47,15803968.31,15283947.62,16349953.67,16144786.67
SNF HOLDING COMPANY,1059116.54,925461.37,1095375.32,1085391.49,1066459.98,985089.33,1134544.58,1121580.59
"SODEXO OPERATIONS, LLC",31705234.88,29010028.11,31406333.83,30687393.06,31879658.58,31065724.13,33304394.75,32729895.28
SOENERGY INTERNATIONAL INC,75325.38,123336.98,173954.49,124204.35,107532.29,144524.39,139705.1,148751.75
SOFTWARE ONE,2026537.9,1559062.83,1902107.21,1994633.22,1795749.28,1261452.83,1215357.77,976823.35
SOL FRANCE SAS,118201.16,117669.65,84135.45,106363.05,104913.67,111235,110178.52,107876.86
SOLARCITY CORPORATION,22706522.17,18279489.4,17829411.24,16192584.05,14304748.51,10534043.68,8683628.59,7741363.64
SOLENIS LLC,5378847.58,5602275.35,5988692.26,6189747.63,7279952.83,7675812.62,8252082.65,7860736.27
SOLINEST,110850.83,249747.73,312393.39,268365.53,328550.67,304448.72,297383.99,282518.97
SOMPO JAPAN NIPPONKOA INSURANCE SERVICES INC.,275031.97,278596.41,294651.86,295192.64,345902.08,259915.78,301612.53,280930.89
"SONOS, INC",4712641.78,4297892.26,2214174.32,3066289.11,2810130.87,3170904.82,4161961.41,4074578.88
"SONOSITE, INC.",1707828.29,1378454.19,1647546.29,1422060.62,1791278.33,1513577.79,1593830.53,1525556.91
"SONUS NETWORKS, INC.",2275432.1,1706932.4,1900959.08,1776262.32,2249237.92,2065603.2,2091049.73,1760199.88
SONY COMPUTER ENTERTAINMENT AMERICA LLC,4527944.95,4486925.93,4016469.2,4014861.82,4437230.89,4347012.62,3213230.22,4092891.37
SONY CORPORATION OF AMERICA,575766.01,522346.64,477779.1,470723.29,426417.89,429111.53,372067.81,405115.86
SONY EUROPE LIMITED,12984834.36,13388750.46,13237752.81,12832819.56,14365862.56,14751357.68,14096566.35,12987506.24
SONY PICTURES ENTERTAINMENT INC,8455025.7,8399891.08,5995795.21,10362812.94,8606433.69,7356957.66,7699695.09,7621842.85
SONY/ATV MUSIC PUBLISHING LLC,573600.07,657186.55,581248.01,493475.32,508120.04,595462.98,617888.04,621214.66
"SORIN GROUP USA, INC.",2054008.29,2027928.23,2025708.95,1778054.92,1785267.92,1480857.78,1569707.31,1515435.1
SOURCE PHOTONICS INC.,335398.87,477797.25,586584.23,562635.65,738358.93,654930.41,651698.6,668017.93
"SOURCE REFRIGERATION & HVAC, INC.",659747.76,424831.98,436163.69,453550.55,501513.38,511451.86,571596,558017.52
SOUTHCENTRAL FOUNDATION,1779020.6,1681093.78,1921134.73,1885346.12,1970393.16,1903548.51,2168166.96,2093421.69
SOUTHERN CROSS UNIVERSITY,1366811.24,583164.82,964706.01,992275.4,1082957.25,720619.54,792672.63,924886.59
SOUTHERN METHODIST UNIVERSITY - CTE,4790133.07,5192789.05,5361299.42,4560976.2,5538822.49,4918519.88,6214164.16,4745084.69
"SOUTHERN WINE &AMP; SPIRITS OF AMERICA, INC.",19062140.59,15923461.58,18629007.13,19088024.43,23237410.09,23075132.32,24383701.96,23202154.33
SOUTHWEST GAS CORPORATION,1913977.97,1721371.42,1989096.95,1899726.03,2289379.54,1994653.29,2219411.23,2106659.08
SP PLUS CORPORATION,2585067.3,2311232.81,2432813.49,2285065.3,2861550.06,2584710.88,3036172.55,2726434.65
SPACE NK LIMITED,242990.53,503340.7,364945.68,333022.27,377848.25,310795.23,424048.02,343126.46
SPARTAN CONTROLS LTD,1569170.49,869998.53,1025339.87,817457.47,1387273.45,971622.41,1275806.85,1382144.02
SPARTAN MOTORS,292803.71,251844.52,228695.94,249248.05,259755.45,296496.58,341273.16,335066.76
"SPECTRUM BRANDS, INC.",4866836.33,5842541.42,6450372.41,5794019.35,5639963.73,6379022.7,6915307.85,6645219.03
SPECTRUM RETIREMENT COMMUNITIES LLC,690730.21,898542.44,933832.65,853778.61,899071.54,882174.61,1014129.07,1178354.3
SPEEDY SUPPORT SERVICES LIMITED,442500.23,301048.16,276634.88,238337.09,353614.82,250609.34,243663.46,271834.86
SPENCER GIFTS LLC,857577.11,595618.5,740158.07,754196.54,713712.8,616060.09,687604.97,1118313.41
SPHEREA TEST & SERVICES,604105.19,635028.1,608884.27,419502.23,511693.65,499234.58,516957.02,482664.26
SPIRENT COMMUNICATIONS,3571838.27,2898158.28,3610332.71,3357274.18,3448505.85,2774276.03,3244465.55,3044853.99
"SPIRIT AEROSYSTEMS, INC",3816074.64,3360089.98,3686091.01,4206520.82,4140538.94,2981822.77,2815695.6,2980807.75
SPORTECH INC,479621.54,435889.51,443829.14,439965.95,346412.55,286986.33,393492.47,372328.69
SPOTIFY AB,3603992.77,3856095.52,4880331.21,5706341.66,6384109.92,6155366.77,8089777.03,8154333.09
"SPRINGS GLOBAL US, INC.",241960.74,164910.02,159973.82,168141.05,179548.38,120371.54,198137.87,212257.2
"SPRINGS INDUSTRIES, INC",915045.81,831781.88,834070.61,739599.04,912997.8,1618497.31,1447200.63,1318095.97
"SPS COMMERCE, INC.",1665352.96,2025694.81,1262144.88,1656269.61,1248306.08,1241337.41,1599565.61,1389080
"SPX FLOW, INC",11332974.11,6643843,6566520.19,5629035.82,5811197.22,5577289.42,5942998.7,5433598.47
"SRA INTERNATIONAL, INC.",6585095.62,6473269.15,5236872.89,5709235.69,6208694.2,7306407.34,5652711.61,6150486.03
SRAM LLC,2406278.23,1780849.43,2304819.2,2133999.97,2425143.68,2178632.61,2871034.17,2498425.69
"SRG GLOBAL, INC.",2480029.55,2278151.6,2595947.14,2481021.19,2502468.74,2527529.32,2529829.95,2203369.92
SRI INTERNATIONAL_US,2578147.84,1658766.48,2350626.81,2086113.4,2122664.07,1531456.56,1744016.31,1580584.04
"SSA MARINE, INC.",1782085.09,1460293.35,1339579.43,1593131.71,1653648.01,1662683.24,1632579.55,1710211.3
SSI (U.S.) INC.,2768691.07,3110720.48,3132255.67,3454223.39,2782430.85,2743680.47,3005328.06,3522158.85
SSQ SOCIETE DASSURANCE VIE INC,491135.73,288176.91,404386.99,315706.79,534798.73,340500.56,465308.33,389364.47
SSR MINING INC,206225.33,136899.14,148562.34,118588.6,209248.83,138299.15,150559.95,161420.1
"ST JOHNS UNIVERSITY, NEW YORK",2118898.79,2399975.89,2215162.81,1216501.81,1782866.03,2161093.14,2208087.96,1570485.15
ST. JOSEPH HEALTH SYSTEM,3503051.76,3133719.5,4223939.21,3279156.01,4104443.46,3300372.38,4316216.09,3292484.27
STANDARD INSURANCE COMPANY,4165096.94,3069411.89,4059218.93,4291031.97,4670276.15,3420630.77,4970512.78,3595842.85
STANDARD PACIFIC CORP,669559.24,647971.51,785860.11,1135611.45,1011839.04,1014681.53,1076814.03,1339972.45
"STANDARDAERO AVIATION HOLDINGS, INC.",3988201.67,2978007.61,3324198.43,2991611.14,3588462.95,2611906.52,3545162.26,3152295.27
STANFORD HEALTH CARE,1207855,1094203.83,1088199.62,831793.38,838258.45,675454.64,673561.39,608174.02
"STANLEY BLACK AND DECKER, INC.",24752516.8,23846272.99,28078962.01,27429362.85,31431655.4,29414515.24,36959574.5,34982512.74
"STANLEY CONSULTANTS, INC.",1353856.49,1176543.71,1231931.33,1396855.23,1282554.64,1327885.61,1246063.13,1256965.65
"STANLEY ELECTRIC CO.,LTD.",3182756.3,2952253.25,2884720.34,2991678.85,3071139.78,2923437.56,2942989.24,3052934.54
STAR FLYER INC,125795.4,107780.37,125699.35,145268.76,170456.24,162690.86,167402.78,171788.31
STARBUCKS CORPORATION,12653869.7,11656981.52,12128584.2,10523760.16,12531605.04,11498582.77,12464367.48,11878606.41
STARR UNDERWRITING AGENCY LLC,2832600.09,2569933.81,3152485.1,2760946.17,3109461.22,2938555.22,3362378.64,2932612.74
"STARTEK, INC.",836441.07,809303.06,933693.94,1152751.15,1142339.58,1128663.53,1309845.62,1226101.88
STARWOOD,1704637.37,1154000.45,1666761.98,1382853.72,2040399.1,1013327.66,1160591.53,998010.28
STATE ACCOUNTING OFFICE,7833172.17,7169767.7,9464607.21,7960145.27,8314152.09,8040201.03,11226933.2,9295948.39
STEEL TECHNOLOGIES LLC.,613507.44,758151.45,673378.62,585993.34,587985.04,621004.02,586143.49,608341.93
STEELCASE INC.,15170774.22,12920252.32,14138315.12,12874296.28,14664922.64,12957352.31,15108036.63,11475293.24
STEFANINI NV/SA,448977.99,431725.36,389461.05,294811,367205.13,301145.73,421184.06,318216.67
STEIN MART INC,1058745.47,1044930.37,1050041.83,1061378.19,1100203.99,905567.67,945586.09,969322.56
STEINER MANAGEMENT SERVICES LLC,1441110.31,1364403.66,1709303.16,1635335.23,1816235.31,1602004.2,1765925.86,1826223.56
STEPAN COMPANY,2221792.94,1740428.11,1949186.37,1670806.03,2014903.41,1779698.51,1688431.43,1524240.55
STEPHENSON HARWOOD LLP,442620.27,383646.2,440486.42,399478.75,479298.13,421782.76,544209,458710.57
STERIA LIMITED,11686469.02,9279349.02,10637165.21,9465880.3,10869435.32,9044891.6,9281116.96,9578149.3
STICKY ADS TV S.A.,72546.98,125508.67,137461.31,98548.3,100201.84,106104.78,130483.92,128679.52
STIFEL FINANCIAL CORP,14682086.56,12697624.21,14808515.31,13072564.41,13559202.42,12706362.1,15030677.93,11518205.96
"STMICROELECTRONICS, INC",2496136.68,2704452.26,2612389.82,2319131.41,2997261.74,2791134.99,3021714.48,2699071.13
"STONCOR GROUP, INC.",1568954.54,1573354.21,1578933.52,1590387.17,1766214.12,1844049.55,1627306.54,1686136.28
"STONERIDGE, INC",351291.89,402759.92,563269.82,505129.04,604635.14,602959.42,812573.55,800191.17
"STRATEGIC STAFFING SOLUTIONS, INC",225293.35,200346.2,242166.19,250481.58,314868.18,238608.7,263606.53,225606.34
STRAYER EDUCATION INC.,1425572.76,1278326.56,1488176.76,1554205.99,1533915.88,1497114.49,1503893.85,1661107.68
"STRYKER CORPORATION, ON BEHALF OF STRYKER CORPORATION - LATIN AMERICA",394111.1,270261.2,437950.33,560162.52,513201.85,313188.04,492001.99,576974.87
"STS OPERATING, INC. D/B/A SUNSOURCE",1105473.87,1013448.78,1118914.18,1051533.43,1146971.52,1146639.85,1220502.33,1132663.89
STUDY GROUP AUSTRALIA PTY LTD,703283.16,223834.05,981718.18,876528.54,838852.75,479961.97,670516.55,612059.07
"SUB-ZERO WOLF, INC.",1158878.46,1194186.62,1250198.45,1063447.86,1160583.38,1148814.52,1500782.77,1200359.12
SUEZ GROUPE SAS,1049881.2,801482.84,787927.02,769483.14,982263.75,790842.87,633929.71,699327.81
SUEZ RECYCLING AND RECOVERY UK LTD,1311901.7,1034250.06,1206439.48,1094915.79,1200849.7,1007931.58,1128544.26,1073011.63
SUMIDA CORPORATION,506146.88,364290.61,461627.58,495740.53,473257.91,405118.78,456809.32,557251.93
SUMITOMO CORPORATION OF AMERICAS,6276026.19,6079757.77,5794272.95,5733331.93,6313525.45,5947879.66,6224543.59,5954439.69
SUMITOMO MITSUI BANKING CORPORATION,3538215.98,3077848.31,3456593.65,2709086.57,3439949.89,3594694.04,4158448.87,3521186.49
"SUMMIT POLYMERS, INC.",364018.43,278681.72,331408.2,304791.28,299712.67,327666.22,331079.18,342847.38
SUN LIFE ASSURANCE CO. OF CANADA (U.S.),8722050.29,5693542.12,8865514.78,7838245.17,9909065.08,9952116.84,12107145.04,10066467.63
"SUNBELT RENTALS, INC.",4290699.91,2505663.27,3339068.8,4275561.02,4473092.6,3791164.51,4718075.8,5221182.12
SUNCOKE ENERGY INC.,665841.29,443914.6,528775.78,458907.3,543656.73,448889.59,504596.94,567250.99
"SUNGLASS HUT DE MEXICO, S.A.P.I. DE C.V.",48514.84,35809.18,23008.85,37802.64,65761.96,30471.25,42918.52,65878.19
"SUNOCO, INC.",4725925.46,2863706.44,4094096.61,3666402.16,5179084.43,4737500.85,4454565.37,4273144.99
"SUNOVION PHARMACEUTICALS, INC.",9896886.22,8449840.43,9318860.24,8961443.9,9715726.9,9154317.77,10087187.99,9747672.33
SUNTORY BUSINESS EXPERT LIMITED,366020.22,348827.3,586893.25,378852.14,490141.39,343486.38,582709.83,470874.85
SUPER SHUTTLE,1653414.11,1699808.02,2318019.36,2080736.29,1884693.41,1623140.02,1771837.12,1701423.25
"SUPERIOR ESSEX, INC",1785826.98,1524039.17,1550714.08,1482377.67,1478686.34,1525061.36,1442601.87,1511759.23
SUPERIOR PLUS LP,587205.66,553236.63,786407.48,747254.8,855836.76,642105.03,819896.85,738425.23
SURGICAL CARE AFFILIATES,4994230.3,4049426.29,4694566.98,4574975.33,5303642.24,4826465.6,4845380.75,4929774.81
"SURGICAL NOTES, MDP, LP",304006.5,256505.07,282370.18,268317.56,209325.69,255080.86,235004.53,184697.38
"SWEDISH MATCH NORTH AMERICA, LLC.",1458399.82,1200474.31,1562262.53,1382274.19,1530774.75,1254539.98,1491403.68,1573602.08
"SWIFT TRANSPORTATION CO. OF ARIZONA, LLC",1116912,744383.96,854648.78,861987.67,891109.39,707432.79,870286.44,772800.27
SWISS RE TPE,199333.74,109576.7,189453.76,98356.53,193547.39,95543.27,135966.39,106939.68
SYKES ENTERPRISES INCORPORATED,1523913.26,1175148.18,1341495.79,1211443.49,1024219.07,1002103.67,1308531.98,1043204.22
SYMANTEC CORPORATION,21003418.88,17006334.39,15366656.25,13983877.61,15949784.37,21176375.21,19584220.15,20312763.35
SYMANTEC CORPORATION (SOLEY ON BEHALF OF VERITAS TECHNOLOGIES CORPORATION),14859835.82,15349959.76,14110950.21,15537280.43,12378141.05,10989557.83,12097738.99,12860718.42
SYMBION HEALTHCARE,1005173.23,864920.38,1089811.58,920833.76,781663.09,802460.55,796713.88,810286.41
SYMETRA LIFE INSURANCE CO.,2327394.76,1816785.26,2200951.43,2025536.83,2288093.82,1809040.3,2111142.49,1926323.8
SYMRISE ASIA PACIFIC PTE LTD,1100770.77,915722.84,1103186.3,1070808.38,1227495.73,960294.72,1178154.95,1190978.63
SYNAPTICS INCORPORATED,3974912.43,3989251.09,3954941.74,3280521.02,3745880.4,3377831.67,4095590.14,3674962.15
"SYNCHRONOSS TECHNOLOGIES, INC.",1791304.84,1631822.39,1715498.86,1859662.76,2261299.84,1395994.75,1610647.06,1114741.33
"SYNGENTA CROP PROTECTION, LLC.",62516453.31,47774616.58,51182900.97,52780778.7,67086698.1,56328575.02,59580819.63,58360144.94
"SYNIVERSE TECHNOLOGIES, LLC",2959617.88,2603831.9,2210614,2071436.22,2686291.74,2764808.87,2470894.41,2227061.24
SYNTHESIO SAS,50153.73,32644.52,23397.65,20200.03,24894.25,28182.44,63435.06,37225.81
SYSTEMAX INC.,2128000.34,1543542.89,1411231.98,1538786.53,1099787.72,1076100.33,1058334.33,931305.04
T SYSTEMS FRANCE,122526.68,100638.53,93617.96,65145.33,98944.46,77005.31,77828.83,133552.56
"T. ROWE PRICE ASSOCIATES, INC.",11444583.26,9447240.72,10817177.49,9756389.96,11572814.08,10958875.95,12145398.23,11084116.15
TABLEAU SOFTWARE INC.,4308605.97,3438844.18,4245245.29,3662067.28,3294672.59,2860347.83,4680137.93,4587593.85
TAC AMERICAS INC (AKA SCHNEIDER ELECTRONIC),3930894.03,3554584.62,3806774.29,3899829.74,3816409.13,3937155.3,3830033.35,3711083.43
"TACO BUENO RESTAURANTS, L.P.",254030.12,215188.78,246960.32,224673.38,248383.22,159013.41,232350.52,135906.5
TAIT LIMITED,419705.71,366916.23,460081.81,516221.51,529263.08,487465.19,734850.11,444823.85
TAKEDA PHARMACEUTICALS AUSTRALIA PTY LTD.,111314.84,58231.69,60587.35,58145.02,71586.82,51126.02,92827.57,44595.59
TAKEDA PHARMACEUTICALS INTERNATIONAL AG,26104989.03,26437329.64,26903282.46,23660158.92,32825002.46,35949469.79,36693425.5,40002444.72
TAKE-TWO ASIA PTE LTD,198220.5,154835.7,176684.45,209315.73,200708.87,142068.55,181452.08,170601.22
TAL SERVICES LIMITED,890526.82,1021838.72,1169560.48,1308636.03,1279691.03,2296892.25,969280,1527733.91
TALIS GROUP,185231.93,122792.28,175017.46,166682.86,212240.69,239462.86,306129.24,270612.43
TANGOE INC,753406.38,694212.83,909128.28,706630.12,728706.46,705931.05,749898.38,515920.61
"TAPCOENPRO, LLC",678464.89,559655.81,866368.38,568642.85,729421.1,553047.28,794017.86,497935.74
TARGET CORPORATION,28605324.7,21906443.44,21596367.82,21034327.13,26979467.11,19864190.58,21145967.3,22074204.38
TARKETT NORTH AMERICA,1718634.81,1612375.98,1764034.8,1619701.72,2030433.89,1755495.11,2151368.77,1956136.06
TASKUS,404486.34,470490.89,485166.57,648233.11,519942.37,919087.71,709228.18,836911.64
TATA COMMUNICATIONS,5403425.98,5535405.61,5448971.84,6375476.88,6426376,6206629.54,6392645.42,6256157.03
TBC CORPORATION,2322521.63,2630794.78,2345895.48,2373485.5,2457373.73,2451024.9,2301045.33,2283582.63
"TCT MOBILE, S.A. DE C.V.",63255.46,189403.04,182735.15,207877.78,182001.86,124692.05,147718.8,77642.71
TEACHERS INSURANCE AND ANNUITY ASSOCIATION,15953175.13,11650330.59,13543641.31,10619515.16,16883137.79,16436335.74,19067649.38,18323300.98
"TEAM HEALTH, INC.",7291727.41,6507048.32,7795030.56,7034802.61,8910241.64,9591907.11,10651220.26,9461452.4
TECH DATA CANADA CORPORATION,172974.95,95824.03,147229.39,102658.29,174703.58,119046.32,162537.93,132205.02
TECH DATA CORPORATION,1712375.15,1300922.67,1739183.59,1776655.01,1827048.66,1664020.53,2025083.71,1858007.96
"TECHNICAL YOUTH, LLC",805779.61,879073.01,835414.83,1047123.69,1205270.65,1096929.26,1476848.36,1187545.65
"TECHNICOLOR USA, INC.",5805604.82,6524542.44,6875747.63,6368526.88,6652556.38,6498605.99,7613584.69,6341659.03
TECHNIMARK LLC,606849.96,605300.35,686331.8,724308.92,606680.98,667001.36,662401.47,657967.19
TECHNOLOGY SERVICES GROUP LLC.,7522163.13,6129625.43,6970436.5,6829140.15,8093963.49,7386299.09,7508326.32,7160528.37
"TECHTRONIC INDUSTRIES, NORTH AMERICA, INC.",1954515.98,1970318.2,1912095.57,1669269.71,2121476.69,1906071.78,1874886.25,1730316.37
TECK HIGHLAND VALLEY COPPER,384326.22,141757.07,165120.52,160651.68,139182.3,165779.75,231870.2,228316.41
"TEKNI-PLEX, INC.",938375.65,1095734.18,1038639.58,1154757.44,1092115.5,927101.93,1051741.2,1140146.04
TELEFLEX INCORPORATED,9656698.27,9181689.93,11071879.08,10818944.36,11612561.5,10305977.15,12122437.5,11509158.05
